Morning Lower Body Workout,,,
Workout Start,2022-07-14 07:38:58,,
Workout End,2022-07-14 07:52:45,,
Total Duration (seconds),827,,
Total Sets,25,,
Burned Calories,311,,
Total TVL (kgs),15474,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Machine Hip Adduction,15,58.97,0
Machine Hip Adduction,15,58.97,57
Machine Hip Adduction,15,58.97,57
Machine Hip Abduction,15,58.97,91
Machine Hip Abduction,15,58.97,94
Machine Hip Abduction,15,58.97,107
Bodyweight Lunge,10,0,128
Bodyweight Lunge,10,0,70
Bodyweight Lunge,10,0,149
Barbell Back Squat,8,39.69,206
Barbell Back Squat,8,39.69,121
Barbell Back Squat,8,39.69,254
Barbell Back Squat,5,49.9,86
Barbell Back Squat,57,49.9,113
Barbell Back Squat,57,49.9,195
Machine Leg Press,15,38.56,972
Machine Leg Press,15,38.56,6
Machine Leg Press,15,38.56,1
Machine Leg Extension,15,18.14,182
Machine Leg Extension,15,18.14,81
Machine Leg Extension,15,18.14,188
Machine Single-Leg Leg Curl,10,9.07,241
Machine Single-Leg Leg Curl,10,9.07,324
Machine Single-Leg Leg Curl,10,9.07,1
Machine Single-Leg Leg Curl,10,9.07,1
,,,
Morning Full Body Workout,,,
Workout Start,2022-07-15 08:26:59,,
Workout End,2022-07-15 09:11:40,,
Total Duration (seconds),2681,,
Total Sets,19,,
Burned Calories,218,,
Total TVL (kgs),6060,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Cable Upright Rear Delt Fly,15,25,0
Cable Upright Rear Delt Fly,15,25,139
Cable Upright Rear Delt Fly,15,25,0
Cable Upright Rear Delt Fly,15,25,0
Dumbbell Lat Raise,15,4,47
Dumbbell Lat Raise,15,4,158
Dumbbell Lat Raise,15,4,135
Cable Lat Pull Down Wide-Grip,14,35,79
Cable Lat Pull Down Wide-Grip,12,35,144
Cable Lat Pull Down Wide-Grip,12,35,84
Cable Rope Bicep Curl,29,10,174
Cable Rope Bicep Curl,29,10,160
Cable Rope Bicep Curl,29,10,195
Dumbbell Goblet Squat,10,10,158
Dumbbell Goblet Squat,10,10,47
Dumbbell Goblet Squat,10,10,44
Machine Leg Extension,10,11,310
Machine Leg Extension,10,4.5,262
Machine Leg Extension,10,4.5,110
,,,
Morning Upper Body Workout,,,
Workout Start,2022-07-18 08:38:16,,
Workout End,2022-07-18 09:33:35,,
Total Duration (seconds),3319,,
Total Sets,34,,
Burned Calories,271,,
Total TVL (kgs),5927,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Dumbbell Lat Raise,16,4,0
Dumbbell Lat Raise,15,4,88
Dumbbell Lat Raise,15,4,96
Cable Upright Rear Delt Fly,15,16,66
Cable Upright Rear Delt Fly,15,16,17
Cable Upright Rear Delt Fly,15,16,0
Ball Slams,4,12,328
Ball Slams,4,12,46
Ball Slams,4,12,64
Ball Slams,4,12,64
Barbell Bench Press,8,30,166
Barbell Bench Press,8,30,98
Barbell Bench Press,8,30,0
Barbell Bench Press,8,30,68
Barbell Bench Press,5,35,131
Barbell Bench Press,5,35,179
Kettlebell Shoulder Press,5,20,278
Kettlebell Shoulder Press,5,20,50
Kettlebell Shoulder Press,5,20,62
Kettlebell Shoulder Press,5,20,69
Barbell Overhead Press / Military Press,5,35,71
Dumbbell Bench Press,8,12.5,146
Dumbbell Bench Press,8,12.5,44
Dumbbell Bench Press,8,12.5,46
Dumbbell Bench Press,8,12.5,72
Cable Fly High,20,9,233
Dumbbell Lat Raise,21,3,20
Dumbbell Lat Raise,20,3,54
Cable Face Pull,8,3,96
Toe Touches,7,0,92
Cable Fly High,12,7,16
Cable Fly High,22,4.5,78
Dumbbell Lat Raise,21,3,59
Dumbbell Lat Raise,20,3,40
,,,
Morning Full Body Workout,,,
Workout Start,2022-07-20 08:45:07,,
Workout End,2022-07-20 09:47:55,,
Total Duration (seconds),3768,,
Total Sets,28,,
Burned Calories,267,,
Total TVL (kgs),12430,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Machine Hip Adduction,15,63.5,0
Machine Hip Adduction,15,63.5,9
Machine Hip Adduction,15,63.5,117
Machine Hip Abduction,15,63.5,48
Machine Hip Abduction,15,63.5,69
Machine Hip Abduction,15,63.5,134
Bodyweight Squat,10,0,105
Bodyweight Squat,10,0,77
Bodyweight Squat,10,0,105
Barbell Deadlift,8,65,235
Barbell Deadlift,8,65,112
Barbell Deadlift,8,65,114
Barbell Deadlift,5,74.84,355
Barbell Deadlift,5,74.84,76
Barbell Deadlift,5,74.84,137
Barbell Bent Over Row,8,30,260
Barbell Bent Over Row,8,35.15,127
Barbell Bent Over Row,8,35.15,68
Barbell Bent Over Row,8,35.15,73
Barbell Bent Over Row,8,35.15,75
Dumbbell Row,18,8,343
Dumbbell Row,19,8,43
Dumbbell Row,10,8,139
Dumbbell Row,13,8,15
Dumbbell Row,9,8,50
Dumbbell Row,7,8,31
Cable V-Handle Seated Row,39,18.14,176
Cable V-Handle Seated Row,41,18.14,35
,,,
Morning Full Body Workout,,,
Workout Start,2022-07-21 08:56:02,,
Workout End,2022-07-21 10:05:49,,
Total Duration (seconds),4187,,
Total Sets,31,,
Burned Calories,283,,
Total TVL (kgs),11802,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Machine Hip Adduction,15,63.5,0
Machine Hip Adduction,15,63.5,63
Machine Hip Adduction,15,63.5,62
Machine Hip Abduction,15,63.5,109
Machine Hip Abduction,15,63.5,53
Machine Hip Abduction,15,63.5,60
Bodyweight Lunge,10,0,135
Bodyweight Lunge,10,0,52
Bodyweight Lunge,10,0,82
Barbell Back Squat,20,20.41,140
Barbell Back Squat,20,20.41,134
Barbell Back Squat,8,29.48,218
Barbell Back Squat,8,29.48,99
Barbell Back Squat,5,50,208
Barbell Back Squat,5,50,112
Barbell Back Squat,5,50,281
Bodyweight Squat,20,0,189
Bodyweight Squat,20,0,210
Bodyweight Squat,20,0,350
Machine Leg Press,15,38.56,20
Machine Leg Press,15,52.16,74
Machine Leg Press,15,52.16,93
Machine Single-Leg Leg Curl,20,9.07,169
Machine Single-Leg Leg Curl,20,9.07,86
Machine Single-Leg Leg Curl,20,9.07,124
Machine Leg Extension,15,18.14,92
Machine Leg Extension,15,18.14,64
Machine Leg Extension,15,18.14,109
Glute bridge,5,0,11038
Glute bridge,5,0,2
Glute bridge,5,0,2
,,,
Morning Full Body Workout,,,
Workout Start,2022-07-22 08:29:24,,
Workout End,2022-07-22 09:14:31,,
Total Duration (seconds),2707,,
Total Sets,18,,
Burned Calories,192,,
Total TVL (kgs),4116,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Cable Upright Rear Delt Fly,15,11.34,0
Cable Upright Rear Delt Fly,15,11.34,0
Dumbbell Lat Raise,16,11.34,11
Dumbbell Lat Raise,16,11.34,132
Cable Upright Rear Delt Fly,9,11.34,112
Dumbbell Lat Raise,15,11.34,13
Cable Lat Pull Down Wide-Grip,12,34.02,274
Cable Lat Pull Down Wide-Grip,12,34.02,77
Cable Lat Pull Down Wide-Grip,12,34.02,35
Cable Rope Bicep Curl,28,9.3,159
Cable Rope Bicep Curl,30,9.07,160
Cable Rope Bicep Curl,30,9.07,152
Machine Leg Extension,10,4.54,266
Machine Leg Extension,10,4.54,105
Machine Leg Extension,10,4.54,145
Resistance Band Front Squat,10,0,275
Resistance Band Front Squat,10,0,83
Resistance Band Front Squat,10,0,79
,,,
Morning Upper Body Workout,,,
Workout Start,2022-07-25 08:47:35,,
Workout End,2022-07-25 09:47:08,,
Total Duration (seconds),3573,,
Total Sets,29,,
Burned Calories,240,,
Total TVL (kgs),6028,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Dumbbell Lat Raise,15,4,0
Dumbbell Lat Raise,16,4,144
Dumbbell Lat Raise,16,4,94
Barbell Close-Grip Bench Press,11,20,552
Barbell Close-Grip Bench Press,8,20,137
Barbell Close-Grip Bench Press,1,20,181
Barbell Close-Grip Bench Press,1,20,181
Barbell Close-Grip Bench Press,11,35,447
Barbell Close-Grip Bench Press,10,35,83
Barbell Close-Grip Bench Press,3,35,402
Dumbbell Bench Press,8,12.5,247
Dumbbell Bench Press,8,12.5,52
Dumbbell Bench Press,8,12.5,69
Dumbbell Bench Press,8,12.5,56
Cable Bar Seated Row,21,12.5,203
Cable Bar Seated Row,6,12.5,218
Dumbbell Lat Raise,21,12.5,11
Dumbbell Lat Raise,21,12.5,40
Dumbbell Lat Raise,20,12.5,22
Dumbbell Lat Raise,21,12.5,25
Cable Face Pull,11,12.5,103
Cable Face Pull,20,12.5,65
Ball Slams,4,12,26447
Ball Slams,4,12,1
Ball Slams,4,12,0
Ball Slams,4,12,0
Cable Upright Rear Delt Fly,10,10,33
Cable Upright Rear Delt Fly,10,10,0
Cable Upright Rear Delt Fly,10,10,0
,,,
Morning Full Body Workout,,,
Workout Start,2022-07-26 08:52:06,,
Workout End,2022-07-26 09:56:54,,
Total Duration (seconds),3888,,
Total Sets,31,,
Burned Calories,249,,
Total TVL (kgs),10662,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Machine Hip Adduction,15,62.5,0
Machine Hip Adduction,15,62.5,110
Machine Hip Adduction,15,62.5,109
Machine Hip Abduction,15,62.5,33
Machine Hip Abduction,15,62.5,96
Machine Hip Abduction,15,62.5,75
Bodyweight Lunge,10,0,89
Bodyweight Lunge,10,0,56
Bodyweight Lunge,10,0,65
Barbell Back Squat,10,30,425
Barbell Back Squat,5,30,84
Barbell Back Squat,1,30,6
Barbell Back Squat,1,30,6
Barbell Back Squat,1,30,6
Barbell Back Squat,8,40,294
Barbell Back Squat,10,40,101
Bodyweight Squat,20,0,327
Bodyweight Squat,20,0,0
Bodyweight Squat,20,0,0
Machine Leg Extension,15,18,345
Machine Leg Extension,15,18,75
Machine Leg Extension,15,18,317
Machine Single-Leg Leg Curl,20,9,12
Machine Single-Leg Leg Curl,20,9,68
Machine Single-Leg Leg Curl,20,14,121
Push Up,3,0,398
Push Up,6,0,110
Push Up,12,0,71
Machine Leg Press,15,37.5,112
Machine Leg Press,15,37.5,6
Machine Leg Press,15,37.5,1
,,,
Morning Full Body Workout,,,
Workout Start,2022-07-27 08:24:51,,
Workout End,2022-07-27 08:54:56,,
Total Duration (seconds),1805,,
Total Sets,20,,
Burned Calories,177,,
Total TVL (kgs),3525,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Cable Upright Rear Delt Fly,15,12,0
Cable Upright Rear Delt Fly,15,12,0
Cable Upright Rear Delt Fly,15,12,0
Dumbbell Lat Raise,15,4,24
Dumbbell Lat Raise,15,4,6
Dumbbell Lat Raise,15,4,63
Cable Lat Pull Down Wide-Grip,12,35,144
Cable Lat Pull Down Wide-Grip,12,35,135
Cable Lat Pull Down Wide-Grip,12,35,136
Cable Rope Bicep Curl,15,11.5,221
Cable Rope Bicep Curl,15,11.5,89
Cable Rope Bicep Curl,15,11.5,1
Cable Rope Bicep Curl,15,11.5,1
Push Up,5,0,219
Machine Leg Extension,10,4.5,113
Machine Leg Extension,10,4.5,92
Machine Leg Extension,10,4.5,237
Resistance Band Front Squat,10,0,141
Resistance Band Front Squat,10,0,4
Resistance Band Front Squat,10,0,71
,,,
"Afternoon  Lats, Biceps and Forearms Workout",,,
Workout Start,2022-07-29 13:09:16,,
Workout End,2022-07-29 13:33:11,,
Total Duration (seconds),1435,,
Total Sets,18,,
Burned Calories,172,,
Total TVL (kgs),4820,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Barbell Bent Over Row,8,30,0
Barbell Bent Over Row,8,30,13
Barbell Bent Over Row,8,30,3
Barbell Bent Over Row,9,30,43
Barbell Bent Over Row,9,30,73
Barbell Reverse-Grip Bent Over Row,4,30,287
Barbell Reverse-Grip Bent Over Row,12,30,10
Kettlebell Row,30,20,81
Kettlebell Row,30,20,6
Barbell Reverse-Grip Bent Over Row,25,20,124
Barbell Reverse-Grip Bent Over Row,21,20,44
Barbell Deadlift,10,40,7974
Barbell Deadlift,10,40,2
Barbell Deadlift,2,40,10
Barbell Deadlift,2,40,10
Bodyweight Squat,10,0,60
Bodyweight Squat,10,0,0
Bodyweight Squat,10,0,0
,,,
Morning Full Body Workout,,,
Workout Start,2022-08-01 08:54:31,,
Workout End,2022-08-01 10:01:26,,
Total Duration (seconds),4015,,
Total Sets,41,,
Burned Calories,328,,
Total TVL (kgs),6479,,
   ,,,
All Sets,,,
Exercise,Reps,Weight (kgs),Rest Time (seconds)
Ball Slams,2,12,0
Ball Slams,2,12,3
Ball Slams,2,12,1
Ball Slams,2,12,8
Ball Slams,2,12,0
Barbell Bench Press,11,20,119
Barbell Bench Press,11,20,47
Barbell Bench Press,11,20,69
Barbell Bench Press,5,37.5,138
Barbell Bench Press,5,37.5,82
Barbell Bench Press,5,37.5,68
Barbell Bench Press,6,37.5,77
Barbell Bench Press,5,37.5,82
Barbell Overhead Press / Military Press,10,20,137
Barbell Overhead Press / Military Press,10,20,56
Barbell Overhead Press / Military Press,10,20,78
Barbell Overhead Press / Military Press,5,30,158
Barbell Overhead Press / Military Press,5,30,82
Barbell Overhead Press / Military Press,5,30,71
Barbell Overhead Press / Military Press,5,30,0
Barbell Overhead Press / Military Press,5,30,0
Barbell Front Squat,5,30,72
Barbell Bench Press,10,17.5,481
Barbell Close-Grip Bench Press,10,17.5,11
