TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        IS_NULLABLE
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -----------
__EFMigrationsHistory                                                                                                            MigrationId                                                                                                                      nvarchar                                                                                                                         NO         
__EFMigrationsHistory                                                                                                            ProductVersion                                                                                                                   nvarchar                                                                                                                         NO         
AggregatedCounter                                                                                                                Key                                                                                                                              nvarchar                                                                                                                         NO         
AggregatedCounter                                                                                                                Value                                                                                                                            bigint                                                                                                                           NO         
AggregatedCounter                                                                                                                ExpireAt                                                                                                                         datetime                                                                                                                         YES        
Alert                                                                                                                            Id                                                                                                                               int                                                                                                                              NO         
Alert                                                                                                                            AlertThresholdId                                                                                                                 int                                                                                                                              NO         
Alert                                                                                                                            Severity                                                                                                                         int                                                                                                                              NO         
Alert                                                                                                                            CurrentValue                                                                                                                     float                                                                                                                            NO         
Alert                                                                                                                            TriggeredAt                                                                                                                      datetime2                                                                                                                        NO         
Alert                                                                                                                            ResolvedAt                                                                                                                       datetime2                                                                                                                        YES        
Alert                                                                                                                            IsAcknowledged                                                                                                                   bit                                                                                                                              NO         
Alert                                                                                                                            AcknowledgedAt                                                                                                                   datetime2                                                                                                                        YES        
Alert                                                                                                                            AcknowledgedBy                                                                                                                   nvarchar                                                                                                                         YES        
Alert                                                                                                                            AcknowledgementNote                                                                                                              nvarchar                                                                                                                         YES        
Alert                                                                                                                            IsEscalated                                                                                                                      bit                                                                                                                              NO         
Alert                                                                                                                            EscalatedAt                                                                                                                      datetime2                                                                                                                        YES        
Alert                                                                                                                            Details                                                                                                                          nvarchar                                                                                                                         YES        
Alert                                                                                                                            EmailSent                                                                                                                        bit                                                                                                                              NO         
Alert                                                                                                                            EmailSentAt                                                                                                                      datetime2                                                                                                                        YES        
Alert                                                                                                                            NotificationSent                                                                                                                 bit                                                                                                                              NO         
Alert                                                                                                                            NotificationSentAt                                                                                                               datetime2                                                                                                                        YES        
AlertHistory                                                                                                                     Id                                                                                                                               int                                                                                                                              NO         
AlertHistory                                                                                                                     AlertId                                                                                                                          int                                                                                                                              NO         
AlertHistory                                                                                                                     MetricName                                                                                                                       nvarchar                                                                                                                         NO         
AlertHistory                                                                                                                     MetricCategory                                                                                                                   nvarchar                                                                                                                         NO         
AlertHistory                                                                                                                     Severity                                                                                                                         int                                                                                                                              NO         
AlertHistory                                                                                                                     ThresholdValue                                                                                                                   float                                                                                                                            NO         
AlertHistory                                                                                                                     ActualValue                                                                                                                      float                                                                                                                            NO         
AlertHistory                                                                                                                     Direction                                                                                                                        int                                                                                                                              NO         
AlertHistory                                                                                                                     TriggeredAt                                                                                                                      datetime2                                                                                                                        NO         
AlertHistory                                                                                                                     ResolvedAt                                                                                                                       datetime2                                                                                                                        YES        
AlertHistory                                                                                                                     WasAcknowledged                                                                                                                  bit                                                                                                                              NO         
AlertHistory                                                                                                                     AcknowledgedAt                                                                                                                   datetime2                                                                                                                        YES        
AlertHistory                                                                                                                     AcknowledgedBy                                                                                                                   nvarchar                                                                                                                         YES        
AlertHistory                                                                                                                     AcknowledgementNote                                                                                                              nvarchar                                                                                                                         YES        
AlertHistory                                                                                                                     WasEscalated                                                                                                                     bit                                                                                                                              NO         
AlertHistory                                                                                                                     TimeToResolve                                                                                                                    time                                                                                                                             YES        
AlertHistory                                                                                                                     TimeToAcknowledge                                                                                                                time                                                                                                                             YES        
AlertHistory                                                                                                                     Details                                                                                                                          nvarchar                                                                                                                         YES        
AlertHistory                                                                                                                     CreatedAt                                                                                                                        datetime2                                                                                                                        NO         
AlertThreshold                                                                                                                   Id                                                                                                                               int                                                                                                                              NO         
AlertThreshold                                                                                                                   MetricName                                                                                                                       nvarchar                                                                                                                         NO         
AlertThreshold                                                                                                                   MetricCategory                                                                                                                   nvarchar                                                                                                                         NO         
AlertThreshold                                                                                                                   WarningThreshold                                                                                                                 float                                                                                                                            NO         
AlertThreshold                                                                                                                   CriticalThreshold                                                                                                                float                                                                                                                            NO         
AlertThreshold                                                                                                                   Direction                                                                                                                        int                                                                                                                              NO         
AlertThreshold                                                                                                                   EmailEnabled                                                                                                                     bit                                                                                                                              NO         
AlertThreshold                                                                                                                   NotificationEnabled                                                                                                              bit                                                                                                                              NO         
AlertThreshold                                                                                                                   EscalationMinutes                                                                                                                int                                                                                                                              YES        
AlertThreshold                                                                                                                   Description                                                                                                                      nvarchar                                                                                                                         YES        
AlertThreshold                                                                                                                   CreatedAt                                                                                                                        datetime2                                                                                                                        NO         
AlertThreshold                                                                                                                   UpdatedAt                                                                                                                        datetime2                                                                                                                        NO         
AlertThreshold                                                                                                                   CreatedBy                                                                                                                        nvarchar                                                                                                                         NO         
AlertThreshold                                                                                                                   UpdatedBy                                                                                                                        nvarchar                                                                                                                         NO         
AlertThreshold                                                                                                                   IsEnabled                                                                                                                        bit                                                                                                                              NO         
AppUser                                                                                                                          Id                                                                                                                               nvarchar                                                                                                                         NO         
AppUser                                                                                                                          UserName                                                                                                                         nvarchar                                                                                                                         YES        
AppUser                                                                                                                          NormalizedUserName                                                                                                               nvarchar                                                                                                                         YES        
AppUser                                                                                                                          Email                                                                                                                            nvarchar                                                                                                                         YES        
AppUser                                                                                                                          NormalizedEmail                                                                                                                  nvarchar                                                                                                                         YES        
AppUser                                                                                                                          EmailConfirmed                                                                                                                   bit                                                                                                                              NO         
AppUser                                                                                                                          PasswordHash                                                                                                                     nvarchar                                                                                                                         YES        
AppUser                                                                                                                          SecurityStamp                                                                                                                    nvarchar                                                                                                                         YES        
AppUser                                                                                                                          ConcurrencyStamp                                                                                                                 nvarchar                                                                                                                         YES        
AppUser                                                                                                                          PhoneNumber                                                                                                                      nvarchar                                                                                                                         YES        
AppUser                                                                                                                          PhoneNumberConfirmed                                                                                                             bit                                                                                                                              NO         
AppUser                                                                                                                          TwoFactorEnabled                                                                                                                 bit                                                                                                                              NO         
AppUser                                                                                                                          LockoutEnd                                                                                                                       datetimeoffset                                                                                                                   YES        
AppUser                                                                                                                          LockoutEnabled                                                                                                                   bit                                                                                                                              NO         
AppUser                                                                                                                          AccessFailedCount                                                                                                                int                                                                                                                              NO         
AppUser                                                                                                                          CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
AppUser                                                                                                                          LastModifiedDate                                                                                                                 datetime2                                                                                                                        NO         
AspNetRoleClaims                                                                                                                 Id                                                                                                                               int                                                                                                                              NO         
AspNetRoleClaims                                                                                                                 RoleId                                                                                                                           nvarchar                                                                                                                         NO         
AspNetRoleClaims                                                                                                                 ClaimType                                                                                                                        nvarchar                                                                                                                         YES        
AspNetRoleClaims                                                                                                                 ClaimValue                                                                                                                       nvarchar                                                                                                                         YES        
AspNetRoles                                                                                                                      Id                                                                                                                               nvarchar                                                                                                                         NO         
AspNetRoles                                                                                                                      Name                                                                                                                             nvarchar                                                                                                                         YES        
AspNetRoles                                                                                                                      NormalizedName                                                                                                                   nvarchar                                                                                                                         YES        
AspNetRoles                                                                                                                      ConcurrencyStamp                                                                                                                 nvarchar                                                                                                                         YES        
AspNetUserClaims                                                                                                                 Id                                                                                                                               int                                                                                                                              NO         
AspNetUserClaims                                                                                                                 UserId                                                                                                                           nvarchar                                                                                                                         NO         
AspNetUserClaims                                                                                                                 ClaimType                                                                                                                        nvarchar                                                                                                                         YES        
AspNetUserClaims                                                                                                                 ClaimValue                                                                                                                       nvarchar                                                                                                                         YES        
AspNetUserLogins                                                                                                                 LoginProvider                                                                                                                    nvarchar                                                                                                                         NO         
AspNetUserLogins                                                                                                                 ProviderKey                                                                                                                      nvarchar                                                                                                                         NO         
AspNetUserLogins                                                                                                                 ProviderDisplayName                                                                                                              nvarchar                                                                                                                         YES        
AspNetUserLogins                                                                                                                 UserId                                                                                                                           nvarchar                                                                                                                         NO         
AspNetUserRoles                                                                                                                  UserId                                                                                                                           nvarchar                                                                                                                         NO         
AspNetUserRoles                                                                                                                  RoleId                                                                                                                           nvarchar                                                                                                                         NO         
AspNetUsers                                                                                                                      Id                                                                                                                               nvarchar                                                                                                                         NO         
AspNetUsers                                                                                                                      UserName                                                                                                                         nvarchar                                                                                                                         YES        
AspNetUsers                                                                                                                      NormalizedUserName                                                                                                               nvarchar                                                                                                                         YES        
AspNetUsers                                                                                                                      Email                                                                                                                            nvarchar                                                                                                                         YES        
AspNetUsers                                                                                                                      NormalizedEmail                                                                                                                  nvarchar                                                                                                                         YES        
AspNetUsers                                                                                                                      EmailConfirmed                                                                                                                   bit                                                                                                                              NO         
AspNetUsers                                                                                                                      PasswordHash                                                                                                                     nvarchar                                                                                                                         YES        
AspNetUsers                                                                                                                      SecurityStamp                                                                                                                    nvarchar                                                                                                                         YES        
AspNetUsers                                                                                                                      ConcurrencyStamp                                                                                                                 nvarchar                                                                                                                         YES        
AspNetUsers                                                                                                                      PhoneNumber                                                                                                                      nvarchar                                                                                                                         YES        
AspNetUsers                                                                                                                      PhoneNumberConfirmed                                                                                                             bit                                                                                                                              NO         
AspNetUsers                                                                                                                      TwoFactorEnabled                                                                                                                 bit                                                                                                                              NO         
AspNetUsers                                                                                                                      LockoutEnd                                                                                                                       datetimeoffset                                                                                                                   YES        
AspNetUsers                                                                                                                      LockoutEnabled                                                                                                                   bit                                                                                                                              NO         
AspNetUsers                                                                                                                      AccessFailedCount                                                                                                                int                                                                                                                              NO         
AspNetUsers                                                                                                                      CreatedDate                                                                                                                      datetime2                                                                                                                        NO         
AspNetUsers                                                                                                                      LastModifiedDate                                                                                                                 datetime2                                                                                                                        NO         
AspNetUserTokens                                                                                                                 UserId                                                                                                                           nvarchar                                                                                                                         NO         
AspNetUserTokens                                                                                                                 LoginProvider                                                                                                                    nvarchar                                                                                                                         NO         
AspNetUserTokens                                                                                                                 Name                                                                                                                             nvarchar                                                                                                                         NO         
